id,numberofpages,description,bookEdition,author,title,GoodReadAverageRating,NumberofRatings,Language,bookformat
11566,592 pages,"At Cold Mountain Penitentiary, along the lonely stretch of cells known as the Green Mile, killers are depraved as the psychopathic ""Billy the Kid"" Wharton and the possessed Eduard Delacroix await death strapped in ""Old Sparky."" Here guards as decent as Paul Edgecombe and as sadistic as Percy Wetmore watch over them. But good or evil, innocent or guilty, none have ever seen the brutal likes of the new prisoner, John Coffey, sentenced to death for raping and murdering two young girls. Is Coffey a devil in human form? Or is he a far, far different kind of being?",Six Volume Box Set ,Stephen King,The Green Mile,4.42,192585,English,Paperback
7967,382 pages,"Now long years later, a second alien race has been discovered, but again the aliens’ ways are strange and frightening…again, humans die. And it is only the Speaker for the Dead, who is also Ender Wiggin the Xenoc",Revised Mass Market Edition,Orson Scott Card,Speaker for the Dead,4.04,183915,English,Mass Market Paperback
14743,374 pages,"With rigor and wit, Dawkins examines God in all his forms, from the sex-obsessed tyrant of the Old Testament to the more benign (but still illogical) Celestial Watchmaker favored by",First American Edition,Richard Dawkins,The God Delusion,3.89,178411,English,Hardcover
45032,560 pages,"Taken from the poverty of her parents' home, Fanny Price is brought up with her rich cousins at Mansfield Park, acutely aware of her humble rank and with only her cousin Edmund as an ally. When Fanny's uncle is absent in Antigua, Mary Crawford and her brother Henry arrive in the neighbourhood, bringing with them London glamour and a reckless taste for flirtation. As her female cousins vie for Henry's attention, and even Edmund falls for Mary's dazzling charms, only Fanny remains doubtful about the Crawfords' influence and finds herself more isolated than ever. A subtle examination of social position and moral integrity, ",Penguin Classics,Jane Austen,Mansfield Park,3.84,226356,English,Paperback
659469,133 pages,'The Hobbit' is the story of Bilbo Baggins…a quiet and contented hobbit whose life is turned upside down when he joins the wizard Gandalf and thirteen dwarves on their quest to,Graphic Novel,Chuck Dixon,The Hobbit,4.48,159416,English,Paperback
1078,418 pages,Hard times come upon Wang Lung and his family w,(Enriched Classics),Pearl S. Buck,The Good Earth,3.97,194142,English,Paperback
676924,310 pages,"Zoey, High Priestess in training, has managed to settle in at the House of Night and come to terms with the vast powers the Vampyre Goddess Nyx has given her. Just as she finally feels she belongs, the unthinkable happens: human teenagers are being killed, and all evidence points to the House of Night. While d",First Edition,P.C. Cast,Betrayed: a House of Night Novel,3.93,213841,English,Paperback
47212,322 pages," at what he does. So when the Chicago P.D. has a case that transcends mortal creativity or capability, they come to him for answers. For th",First Edition,Jim Butcher,Storm Front,4.02,221280,English,Mass Market Paperback
2248573,748 pages,"It's been only months since Eragon first uttered ""brisingr"", an ancient language term for fire. Since then, he's not only learned to create magic with words — he's been challenged to his very core. Following the colossal battle against the Empires warriors on the Burning Plains, Eragon and his dragon, Saphira, have narrowly",First Edition,Christopher Paolini,Brisingr,4.03,228709,English,Hardcover
3869,212 pages,"In the ten years since its publication in 1988, Stephen Hawking's classic work has become a landmark volume in scientific writing, with more than nine million copies in forty languages sold worldwide. That edition was on the cutting edge of what was then known about the origins and nature of the universe. But the intervening years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds. These observations have confirmed many of Professor Hawking's theoretical predictions in the first edition of his book, including the recent discoveries of the Cosmic Background Explorer satellite (COBE), which probed back in time to within 300,000 years of the universe's beginning and revealed wrinkles in the fabric of space-time that he had projected. Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.",Updated & Expanded 10th Anniversary,Stephen Hawking,A Brief History of Time: From the Big Bang to Black Holes,4.12,184631,English,Paperback
9777,340 pages,"The year is 1969. In the state of Kerala, on the southernmost tip of India, fraternal twins Esthappen and Rahel fashion a childhood for themselves in the shade of the wreck that is their family. Their lonely, lovely mother, Ammu, (who loves by night the man her children love by day), fled an abusive marriage to live with their blind grandmother, Mammachi (who plays Handel on her violin), their beloved uncle Chacko (Rhodes scholar, pickle baron, radical Marxist, bottom-pincher), and their enemy, Baby Kochamma (ex-nun and incumbent grandaunt). When Chacko's English ex-wife brings their daughter for a Christmas visit, the twins learn that things can change in a day, that lives can twist into new, ugly shapes, even cease forever, beside their river...",1st American,Arundhati Roy,The God of Small Things,3.92,183865,English,Hardcover
6482837,470 pages, bestselling author Lauren Oliver emerged as one of today's foremost authors of young adult fiction. Like Jay Asher's ,Enhanced Edition,Lauren Oliver,Before I Fall,3.92,235831,English,Paperback
7791997,427 pages,"Nora Grey's life is still far from perfect. Surviving an attempt on her life wasn't pleasant, but at least she got a guardian angel out of it. A mysterious, magnetic, gorgeous guardian angel. But despite his role in her life, Patch has been acting anything but angelic. He's more elusive than ever (if that's possible) and what's worse, he seems to be spending time with Nora's archenemy, Marcie Millar.",First Edition,Becca Fitzpatrick,Crescendo,4.07,235223,English,Hardcover
3975774,301 pages,"After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her abilities, she has been branded a freak at her new high school — but everything changes when she meets Damen Auguste.",1st Edition,Alyson Noel,Evermore,3.59,236684,English,Paperback
6479259,489 pages,"Scorpio Richelle Mead is a New York Times and USA Today bestselling author of urban fantasy books for both adults and teens. Originally from Michigan, Richelle now lives in Seattle, Washington where she works on her three series full-time: Georgina Kincaid, Dark Swan, and Vampire Academy.",1st Edition,Richelle Mead,Spirit Bound,4.37,235901,English,Hardcover
4929,467 pages," is powered by two remarkable characters: a teenage boy, Kafka Tamura, who runs away from home either to escape a gruesome oedipal prophecy or to search for his long-missing mother and sister; and an aging simpleton called Nakata, who never recovered from a wartime affliction and now is drawn toward Kafka for reasons that, like the most basic activities of daily life, he cannot fathom.",US / Canada,Haruki Murakami,海辺のカフカ [Umibe no Kafuka],4.13,198043,English,Paperback
627206,291 pages," was first published in 1979, it hit the ",Third Edition,Betty Edwards,Drawing on the Right Side of the Brain,3.84,224451,English,Paperback
46170,471 pages,"Ernest Miller Hemingway was an American author and journalist. His economical and understated style had a strong influence on 20th-century fiction, while his life of adventure and his public image influenced later generations. Hemingway produced most of his work between the mid-1920s and the mid-1950s, and won the Nobel Prize in Literature in 1954. He published seven novels, six short story collections and two non-fiction works. Three novels, four collections of short stories and three non-fiction works were published posthumously. Many of these are considered classics of American literature.",UK / CAN,Ernest Hemingway,For Whom the Bell Tolls,3.96,207535,English,Paperback
8520610,337 pages,"At least one-third of the people we know are introverts. They are the ones who prefer listening to speaking, reading to partying; who innovate and create but dislike self-promotion; who favor working on their own over brainstorming in teams. Although they are often labeled ""quiet,"" it is to introverts that we owe many of the great contributions to society--from van Gogh’s sunflowers to the invention of the personal computer.",First Edition (U.S.),Susan Cain,Quiet: The Power of Introverts in a World that Can't Stop Talking,4.04,224129,English,Hardcover
1241,432 pages,"At the age of 23, James Frey woke up on a plane to find his front teeth knocked out and his nose broken. He had no idea where the plane was headed nor any recollection of the past two weeks. An alcoholic for ten years and a crack addict for three, he checked into a treatment facility shortly after landing. There he was told he could either stop using or die before he reached age 24. This is Frey's acclaimed account of his six weeks in rehab.",Oprah's Book Club,James Frey,A Million Little Pieces,3.62,190633,English,Paperback
21,544 pages,"In Bryson's biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himself to a host of the world’s most advanced (and often obsessed) archaeologists, anthropologists, and mathematicians, travelling to their offices, laboratories, and field camps. He has read (or tried to read) their books, pestered them with questions, apprenticed himself to their powerful minds. ",First Trade Paperback Edition,Bill Bryson,A Short History of Nearly Everything,4.19,208323,English,Paperback
119324,326 pages,"Each is searching—Lyra for the meaning of Dark Matter, Will for his missing father—but what they find instead is a deadly secret, a knife of untold power. And neither",First American Edition,Philip Pullman,The Subtle Knife,4.1,272568,English,Hardcover
18254,608 pages,"The story of the orphan Oliver, who runs away from the workhouse only to be taken in by a den of thieves, shocked readers when it was first published. Dickens's tale of childhood innocence beset by evil depicts the dark criminal underworld of a London peopled by vivid and memorable characters — the arch-villain Fagin, the artful Dodger, the menacing Bill Sikes and the prostitute Nancy. Combining elements of Gothic Romance, the Newgate Novel and popular melodrama, in ",Penguin Classics,Charles Dickens,Oliver Twist,3.85,255322,English,Paperback
10025305,502 pages,"In the magical underworld of Victorian London, Tessa Gray has at last found safety with the Shadowhunters. But that safety proves fleeting when rogue forces in the Clave plot to see her protector, Charlotte, replaced as head of the Institute. If Charlotte loses her position, Tessa will be out on the street—and easy prey for the mysterious Magister, who wants to use Tessa’s powers for his own dark ends.",Collector's First Edition,Cassandra Clare,Clockwork Prince,4.46,332364,English,Hardcover
236093,154 pages,"Dorothy thinks she's lost forever when a tornado whirls her and her dog, Toto, into a magical world. To get home, she must find the wonderful wizard in the Emerald City of Oz. On the way she meets the Scarecrow, the Tin Woodman and the Cowardly Lion. But the Wicked Witch of the West has her own plans for the new arrival - will Dorothy ever see",Penguin Popular Classics,L. Frank Baum,The Wonderful Wizard of Oz,3.98,281436,English,Paperback
11590,483 pages,"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, M",17th Impression,Stephen King,Salem's Lot,3.99,247917,English,Paperback
7745,204 pages,"Hunter Stockton Thompson was an American journalist and author, famous for his book ",Second Vintage Books Edition,Hunter S. Thompson,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,4.08,243742,English,Paperback
13497818,503 pages,"Pagford is, seemingly, an English idyll, with a cobbled market square and an ancient abbey, but what lies behind the pretty façade is a town at war.",First Edition (US),J.K. Rowling,The Casual Vacancy,3.28,255920,English,Hardcover
32929,32 pages,"In this classic of children's literature,",60th Anniversary Edition,Margaret Wise Brown,"
                  0060775858
                      ",4.27,253433,"
                  ",Hardcover
6689,146 pages,"When James accidentally drops some magic crystals by the old peach tree, strange things start to happen. The peach at the top of the tree begins to grow, and before long it's as big as a house. When James discovers a secret entranceway into the fruit and crawls inside, he meets wonderful new friends--the Old-Green-Grasshopper, the dainty Ladybug, and the Centipede of the multiple boots. After years of feeling like an outsider in his aunts' house, James finally found a place where he belongs. With a snip of the stem, the peach household starts rolling away--and the adventure begins!",Borzoi Book Edition,Roald Dahl,James and the Giant Peach,3.99,292148,English,Hardcover
7747374,440 pages,"Our plan was to grow, and train, and become strong, and become one",1st Edition,Pittacus Lore,I Am Number Four,3.94,271987,English,Hardcover
1371,683 pages,"In the Western classical tradition, Homer (Greek: ",Deluxe Edition,Homer,Ἰλιάς,3.83,276123,English,Paperback
13596809,338 pages,.,First Edition,Sylvia Day,Reflected in You,4.33,268502,English,Paperback
2318271,206 pages, -- Randy,First edition,Randy Pausch,The Last Lecture,4.25,249841,English,Hardcover
6752378,424 pages,"The Mortal War is over, and sixteen-year-old Clary Fray is back home in New York, excited about all the possibilities before her. She’s training to become a Shadowhunter and to use her unique power. Her mother is getting married to the love of her life. Downworlders and Shadowhunters are at peace at last. And—most importantly of all—she can finally call Jace her boyfriend.",1st Edition,Cassandra Clare,City of Fallen Angels,4.16,376216,English,Hardcover
1215032,994 pages,”,First Edition,Patrick Rothfuss,The Wise Man's Fear,4.57,286039,English,Hardcover
52529,199 pages,"Rhonda Byrne is an Australian television writer and producer, best known for her New Thought works, The Secret—a book and a film by the same name. By the Spring of 2007 the book had sold almost 4 million copies, and the DVD had sold more than 2 million copies. She has also been a producer for Sensing Murder. According to an article published by Australia's Herald Sun, Byrne has also worked on the",10th Anniversary Edition ,Rhonda Byrne,The Secret,3.62,253270,English,Hardcover
2122,720 pages,"When The Fountainhead was first published, Ayn Rand''s daringly original literary vision and her groundbreaking philosophy, Objectivism, won immediate worldwide interest and acclaim. This instant classic is the story of an intransigent young architect, his violent battle against conventional standards, and his explosive love affair with a beautiful woman who struggles to defeat him. This edition contains a special afterword by Rand's literary executor, Leonard Peikoff, which includes excerpts from Ayn Rand's own notes on the making of The Fountainhead. As fresh today as it was then, here is a novel about a hero-and about those who try to destroy him.",25 Aniv Edition ,Ayn Rand,The Fountainhead,3.85,256309,English,Mass Market Paperback
30118,176 pages, includes a CD of highlights from his,20th Anniversary Edition with CD,Shel Silverstein,A Light in the Attic,4.34,306978,English,Hardcover
29056083,343 pages,"It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband, and father of three school-age children.","Special Rehearsal Edition Script, UK",John Tiffany,"Harry Potter and the Cursed Child, Parts One and Two",3.75,407859,English,Hardcover
22034,448 pages,"Almost fifty years ago, a classic was born. A searing portrayal of the Mafia underworld, The Godfather introduced readers to the first family of American crime fiction, the Corleones, and their powerful legacy of tradition, blood, and honor. The seduction of power, the pitfalls of greed, and",US,Mario Puzo,The Godfather,4.36,271739,English,Paperback
14891,496 pages," is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of",Deckle Page Edition,Betty  Smith,A Tree Grows In Brooklyn ,4.24,310632,English,Paperback
21853621,440 pages,"Despite their differences, sisters Vianne and Isabelle have always been close. Younger, bolder Isabelle lives in Paris while Vianne is content with life in the French countryside with her husband Antoine and their daughter. But when the Second World War strikes, Antoine is sent off to fight and Vianne finds herself isolated so Isabelle is sent by their father to help her. ",1st Edition,Kristin Hannah,The Nightingale,4.54,335652,English,Hardcover
24337,232 pages,"At birth, Ella is inadvertently cursed by an imprudent young fairy named Lucinda, who bestows on her the ""gift"" of obedience. Anything anyone tells her to do, Ella must obey. Another girl might have been cowed by this affliction, but not feisty Ella: ""Instead of making me docile, Lucinda's curse made a rebel o",First Scholastic Edition,Gail Carson Levine,Ella Enchanted,3.97,347442,English,Paperback
49436,349 pages,"Anyone who despairs of the individual’s power to change lives has to read the story of Greg Mortenson, a homeless mountaineer who, following a 1993 climb of Pakistan’s treacherous K2, was inspired by a chance encounter with impoverished mountain villagers and promised to build them a school. Over the next decade he built fifty-five schools—especially for girls—that offer a balanced education in one of the most isolated and dangerous regions on earth. As it chronicles Mortenson’s quest, which has brought him into conflict with both enraged Islamists and uncomprehending Americans, ",Non-Classics,Greg Mortenson,Three Cups of Tea ,3.64,289784,English,Paperback
11235712,390 pages,"Sixteen-year-old Cinder is considered a technological mistake by most of society and a burden by her stepmother. Being cyborg does have its benefits, though: Cinder's brain interference has given her an uncanny ability to fix things (robots, hovers, her own malfunctioning parts), making her the best mechanic in New Beijing. This reputation brings Prince Kai himself to her weekly market booth, needing her to repair a broken android before the annual ball. He jokingly calls it ""a matter of national security,"" but Cinder suspects it's more serious than he's letting on.",First Edition,Marissa Meyer,Cinder,4.15,462326,English,Hardcover
11387515,316 pages,"August (Auggie) Pullman was born with a facial deformity that prevented him from going to a mainstream school—until now. He's about to start 5th grade at Beecher Prep, and if you've ever been the new kid then you know how hard that can be. The thing is Auggie's just an ordinary kid, with an extraordinary face. But can he convince his new classmates that he's just like them, despite appearances?",Books for Young Readers,R.J. Palacio,Wonder,4.43,390358,English,Hardcover
30183,306 pages,"After a Vampire Tracker Marks her with a crescent moon on her forehead, 16-year-old Zoey Redbird enters the House of Night and learns that she is no average fledgling. She has been Marked as special by the vampyre Goddess Nyx and has affinities for all five elements: Air, Fire Water, Earth and Spirit. But she",1st edition,P.C. Cast,Marked,3.79,372860,English,Paperback
1622,298 pages,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny.",Folger Shakespeare Library,William Shakespeare,A Midsummer Night's Dream,3.94,364196,English,Paperback
36072,372 pages," author Stephen R. Covey presents a holistic, integrated, principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes, Covey reveals a step-by-step pathway for living with fairness, integrity, service, and human dignity -- principles that give us the security to adapt",Anniversary Edition,Stephen R. Covey,The 7 Habits of Highly Effective People,4.05,340226,English,Paperback
17212231,461 pages,", ",First Edition,Dan Brown,Inferno,3.8,349235,English,Hardcover
7631105,362 pages, Thomas was sure that escape from the Maze would mean freedom for him and the Gladers. But WICKED isn’t done yet. Phase Two has just begun. The Scorch. ,1st Edition,James Dashner,The Scorch Trials,3.93,349471,English,Hardcover
2156,249 pages,"Twenty-seven-year old Anne Elliot is Austen's most adult heroine. Eight years before the story proper begins, she is happily betrothed to a naval officer, Frederick Wentworth, but she precipitously breaks off the engagement when persuaded by her friend Lady Russell that such a match is unworthy. The breakup produces in Anne a deep and long-lasting regret. When later Wentworth returns from sea a rich and successful captain, he finds Anne's family on the brink of financial ruin and his own sister a tenant in Kellynch Hall, the Elliot estate. All the tension of the novel revolves around one question: Will Anne and Wentworth be reunited in their love?",Oxford World's Classics,Jane Austen,Persuasion,4.13,405768,English,Paperback
9712,348 pages,"In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is devastated, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs--yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again.",First Vintage International Edition,Gabriel García Márquez,El amor en los tiempos del cólera,3.89,325361,English,Paperback
4406,601 pages,"Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel. Here Steinbeck created some of his most memorable characters and explored his most enduring themes: the mystery of identity; the inexplicability of love; and the murderous consequences of love’s absence.",Centennial Edition,John Steinbeck,East of Eden  ,4.35,338968,English,Paperback
6487308,452 pages,"17-year-old Lucinda falls in love with a gorgeous, intelligent boy, Daniel, at her new school, the grim, foreboding Sword & Cross . . . only to find out that Daniel is a fallen angel, and that they have spent lifetimes finding and losing one another as good & evil forces plot to keep them apart. ",1st Edition,Lauren Kate,Fallen,3.74,410986,English,Hardcover
11127,767 pages,", written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as ",Reissue Edition,C.S. Lewis,The Chronicles of Narnia,4.24,403874,English,Paperback
13572249,338 pages,Gideon ,First Edition,Sylvia Day,Bared to You,4.19,388289,English,Paperback
21996,447 pages,"Two men, each handsome and unusually adept at his chosen work, embodied an element of the great dynamic that characterized America's rush toward the twentieth century. The architect was Daniel Hudson Burnham,",Abridged,Erik Larson,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",3.98,353490,English,Audio Cassette
6853,320 pages,"Janet Evanovich is the #1 New York Times bestselling author of the Stephanie Plum series, the Lizzy and Diesel series, twelve romance novels, the Alexandra Barnaby novels and Trouble Maker graphic novel, and How I Write: Secrets of a Bestselling Author, as well as the Fox and O'Hare series with co-author Lee Goldberg.",First St. Martin's Griffin Edition,Janet Evanovich,One for the Money,4.03,405609,English,Paperback
6411961,509 pages,", Dan Brown demonstrates once again why he is the world's most popular thriller writer. ",First Edition,Dan Brown,The Lost Symbol,3.66,408020,English,Hardcover
6339664,391 pages,But after a series of t,First Edition,Becca Fitzpatrick,"Hush, Hush",4.0,465268,English,Hardcover
7171637,481 pages, bestselling Mortal Instruments series.,First Edition,Cassandra Clare,Clockwork Angel,4.33,520434,English,Hardcover
9361589,400 pages,"The circus arrives without warning. No announcements precede it. It is simply there,",First Edition,Erin Morgenstern,The Night Circus,4.03,479860,English,Hardcover
37470,661 pages,"When Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of Henry VIII. Dazzled, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realises just how much she is a pawn in her family's ambitious plots as the king's interest begins to wane and she is forced to step aside for her best friend and rival: her sister, Anne. Then Mary knows that she must defy her family and her king and take fate into her own hands.",First Touchstone Edition 2003,Philippa Gregory,The Other Boleyn Girl,4.04,400743,English,Paperback
7144,671 pages, put Dostoevsky at the forefront of Russian writers when it appeared in 1866 and is now one of the most famous and influential novels in world literature.,Penguin Classics,Fyodor Dostoyevsky,Преступление и наказание,4.18,448923,English,Paperback
168642,343 pages,"As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the kille",First Vintage International edition,Truman Capote,In Cold Blood,4.05,404871,English,Paperback
4407,635 pages,"Together they embark on a profoundly strange journey across the heart of the USA, whilst all around them a s",the author's preferred text,Neil Gaiman,American Gods,4.11,527789,English,Paperback
6969,474 pages,"Beautiful, clever, rich - and single - Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr. Knightley and attempts to arrange a suitable match for her protegee Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected. With its imperfect but charming heroine and its witty and subtle exploration of relationships, Emma is often seen as Jane Austen's most flawless work.",Penguin Classics,Jane Austen,Emma,3.99,502258,English,Paperback
15823480,964 pages,"In their world frivolous liaisons are commonplace, but Anna and Vronsky’s consuming passion makes them a target for sco",Movie Tie-In,Leo Tolstoy,Анна Каренина,4.02,477020,English,Paperback
149267,1153 pages,And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides or are,Complete & Uncut Edition,Stephen King,The Stand,4.34,474063,English,Hardcover
33,1216 pages, and ,50th Anniversary One-volume Edition,J.R.R. Tolkien,The Lord of the Rings,4.47,439911,English,Paperback
7736182,557 pages,"He doesn’t remember anything before waking up in a bus full of kids on a field trip. Apparently he has a girlfriend named Piper, and a best friend named Leo. They’re all students at a boarding school for “bad kids.” What did Jason do to end up here? And where is here, exactly?",First Edition,Rick Riordan,The Lost Hero,4.35,493333,English,Paperback
2623,505 pages,"In what may be Dickens's best novel, humble, orphaned Pip is apprenticed to the dirty work of the forge but dares to dream of becoming a gentleman — and one day, under sudden and enigmatic circumstances, he finds himself in possession of ""great expectations."" In this gripping tale of crime and guilt, revenge and reward, the compelling characters include Magwitch, the fearful and fearsome convict; Estella, whose beauty is excelled only by her haughtiness; and the embittered Miss Havisham, an eccentric jilted bride.",Oxford World's Classics,Charles Dickens,Great Expectations,3.75,510968,English,Paperback
1582996,453 pages,"Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean",1st Edition,Cassandra Clare,City of Ashes,4.21,590139,English,Hardcover
2865,233 pages,"With precisely 35 canvases to his credit, the Dutch painter Johannes Vermeer represents one of the great enigmas of 17th-century art. The meager facts of his biography have been gleaned from a handful of legal documents. Yet Vermeer's extraordinary paintings of domestic life, with their subtle play of light and texture, have come to define the Dutch golden age. His portrait of the anonymous Girl with a Pearl Earring has exerted a particular fascination for centuries - and it is this magnetic painting that lies at the heart of Tracy Chevalier's second novel of the same title.", Deluxe Edition,Tracy Chevalier,Girl with a Pearl Earring,3.85,497161,English,Paperback
17333223,771 pages,"It begins with a boy. Theo Decker, a thirteen-year-old New Yorker, miraculously survives an accident that kills his mother. Abandoned by his father, Theo is taken in by the family of a wealthy friend. Bewildered by his strange new home on Park Avenue, disturbed by schoolmates who don't know how to talk to him, and tormented above all by his unbearable longing for his mother, he clings to one thing that reminds him of her: a small, mysteriously captivating painting that ultimately draws Theo into the underworld of art.",First American Edition,Donna Tartt,The Goldfinch,3.87,469782,English,Hardcover
6892870,563 pages,"Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockhol",Borzoi (US),Stieg Larsson,Luftslottet som sprängdes,4.2,530383,English,Hardcover
9460487,352 pages,"A horrific family tragedy sets sixteen-year-old Jacob journeying to a remote island off the coast of Wales, where he discovers the crumbling ruins of Miss Peregrine’s Home for Peculiar Children. As Jacob explores its abandoned bedrooms and hallways, it becomes clear that the children w",First Edition,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children,3.89,684411,English,Hardcover
12296,238 pages,"Set in the harsh Puritan community of seventeenth-century Boston, this tale of an adulterous entanglement that results in an illegitimate birth reveals Nathaniel Hawthorne's concerns with the tension between the public and the private selves. Publicly disgraced and ostracized, Hester Prynne draws on her inner strength and certainty of spirit to emerge as the first true heroine of American fiction. Arthur Dimmesdale, trapped by the rules of society, stands as a classic study of a self divided.",Penguin Classics,Nathaniel Hawthorne,The Scarlet Letter,3.37,561112,English,Paperback
3431,196 pages,"In heaven, five people explain yo",First,Mitch Albom,The Five People You Meet in Heaven,3.9,476322,"
                  ",Paperback
3777732,541 pages,"To save her mother's life, Clary must travel to the City of Glass, the ancestral home of the Shadowhunters - never mind that entering the city without permission is against the Law, and breaking the Law could mean death. To make things worse, she learns that Jace does not want her there, and Simon has been thr",1st Edition,Cassandra Clare,City of Glass,4.34,636460,English,Hardcover
5358,75 pages,"""Long before his name became synonymous with the modern legal thriller, he was working 60-70 hours a week at a small Southaven, Mississippi law practice, squeezing in time before going to the office and during courtroom recesses to work on his hobby—writing his first novel.",Penguin Readers,John Grisham,The Firm,3.99,490933,English,Paperback
7604,331 pages,"Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Lolita Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.","New Edition, Penguin Modern Classics",Vladimir Nabokov,Lolita,3.88,521162,", ",Paperback
6288,241 pages,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits",First Edition,Cormac McCarthy,The Road,3.95,558985,English,Hardcover
18710190,526 pages,"The faction-based society that Tris Prior once believed in is shattered - fractured by violence and power struggles and scarred by loss and betrayal. So when offered a chance to explore the world past the limits she's known, Tris is ready. Perhaps beyond the fence, she and Tobias will find a simple new life together, free from complicated lies, tangled loyalties, and painful memories.",UK Hardcover,Veronica Roth,Allegiant,3.63,667767,English,Hardcover
7126,1276 pages,"Thrown in prison for a crime he has not committed, Edmond Dantès is confined to the grim fortress of If. There he learns of a great hoard of treasure hidden on the Isle of Monte Cristo and he becomes determined not only to escape, but also to unearth the treasure and use it to plot the destruction of the three men responsi",Penguin Classics,Alexandre Dumas,Le Comte de Monte-Cristo,4.22,605021,English,Paperback
